Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Func_jantar;Visitante_jantar;Comunidade_jantar;Total_jantar;Total_dia
3;qua;13;498;152;1;1;2;0;0;654;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;654
3;qui;14;504;148;3;2;0;0;0;657;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;657
3;sex;15;276;93;2;2;0;0;0;373;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;373
3;sáb;16;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;dom;17;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;seg;18;582;160;0;4;3;0;0;749;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;749
3;ter;19;592;166;2;2;1;0;0;763;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;763
3;qua;20;521;165;3;2;0;0;0;691;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;691
3;qui;21;579;163;3;3;1;0;0;749;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;749
3;sex;22;260;92;1;3;2;0;0;358;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;358
3;sáb;23;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;dom;24;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;seg;25;61;22;1;3;0;0;0;87;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;87
3;ter;26;103;27;3;4;1;0;0;138;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;138
3;qua;27;102;25;2;2;0;0;0;131;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;131
3;qui;28;141;28;4;3;1;0;0;177;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;177
3;sex;29;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;sáb;30;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
3;dom;31;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
4;seg;1;489;142;2;4;1;0;0;638;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;638
4;ter;2;579;163;2;2;1;0;0;747;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;747
4;qua;3;532;148;3;1;3;0;0;687;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;687
4;qui;4;575;156;5;5;3;0;0;744;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;744
4;sex;5;246;78;0;2;1;0;0;327;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;327
4;sáb;6;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
4;dom;7;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
4;seg;8;544;167;4;3;2;0;0;720;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;720
4;ter;9;559;158;2;2;1;0;0;722;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;722
4;qua;10;568;159;6;2;2;0;0;737;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;737
4;qui;11;477;138;5;4;1;0;0;625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;625
4;sex;12;316;119;2;3;0;0;0;440;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;440
4;sáb;13;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
4;dom;14;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
4;seg;15;534;180;3;2;1;0;0;720;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;720
4;ter;16;551;171;4;2;1;0;0;729;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;729
4;qua;17;481;133;2;3;2;0;8;629;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;629
4;qui;18;590;186;6;7;1;0;0;790;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;790
4;sex;19;313;112;4;5;2;0;0;436;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;436
4;sáb;20;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
4;dom;21;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
4;seg;22;524;166;3;4;2;0;0;699;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;699
4;ter;23;505;159;3;3;1;0;0;671;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;671
4;qua;24;472;146;3;2;1;0;9;633;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;633
4;qui;25;430;147;2;0;1;0;0;580;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;580
4;sex;26;322;116;4;2;4;0;0;448;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;448
4;sáb;27;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
4;dom;28;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
4;seg;29;472;159;3;4;2;0;0;640;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;640
4;ter;30;494;113;1;3;0;0;0;611;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;611
5;qua;1;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;qui;2;507;143;4;5;1;0;0;660;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;660
5;sex;3;270;84;6;4;2;0;0;366;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;366
5;sáb;4;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;dom;5;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;seg;6;513;148;3;4;1;0;0;669;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;669
5;ter;7;555;134;3;5;1;0;0;698;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;698
5;qua;8;469;139;3;4;1;0;9;625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;625
5;qui;9;479;132;3;39;1;0;0;654;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;654
5;sex;10;307;87;3;1;2;0;0;400;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;400
5;sáb;11;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;dom;12;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
5;seg;13;501;141;4;1;1;0;0;648;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;648
5;ter;14;559;140;3;2;1;0;0;705;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;705
5;qua;15;494;139;4;3;1;0;9;650;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;650
5;qui;16;513;128;2;3;3;0;0;649;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;649
5;sex;17;258;91;0;3;2;0;0;354;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;354
