Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Func_jantar;Visitante_jantar;Comunidade_jantar;Total_jantar;Total_dia
8;seg;26;425;148;9;3;4;0;0;589;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;589
8;ter;27;620;180;7;0;1;0;0;808;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;808
8;qua;28;421;155;5;41;5;0;0;627;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;627
8;qui;29;447;164;10;3;3;0;0;627;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;627
8;sex;30;236;86;10;3;3;0;0;338;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;338
8;sáb;31;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;dom;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;seg;2;68;39;4;2;1;0;0;114;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;114
9;ter;3;101;46;4;2;3;0;0;156;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;156
9;qua;4;73;39;5;0;7;0;0;124;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;124
9;qui;5;79;43;5;1;4;0;0;132;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;132
9;sex;6;77;35;7;0;3;0;0;122;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;122
9;sáb;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;dom;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;seg;9;283;114;8;1;3;0;0;409;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;409
9;ter;10;421;158;9;39;5;0;0;632;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;632
9;qua;11;419;151;8;46;8;0;0;632;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;632
9;qui;12;413;153;7;6;3;0;0;582;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;582
9;sex;13;121;64;2;1;8;0;0;196;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;196
9;sáb;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;dom;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;seg;16;378;147;4;2;4;0;0;535;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;535
9;ter;17;510;169;5;14;3;0;0;701;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;701
9;qua;18;467;144;4;0;4;0;0;619;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;619
9;qui;19;470;141;3;38;4;0;0;656;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;656
9;sex;20;168;64;6;0;5;0;0;243;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;243
9;sáb;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;dom;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;seg;23;414;152;6;1;3;0;0;576;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;576
9;ter;24;586;189;9;24;3;1;0;812;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;812
9;qua;25;394;134;4;2;4;0;0;538;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;538
9;qui;26;419;141;3;45;2;0;0;610;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;610
9;sex;27;208;82;4;0;4;0;0;298;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;298
9;sáb;28;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;dom;29;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
9;seg;30;379;133;6;2;3;0;0;523;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;523
10;ter ;1;540;150;5;1;3;0;0;699;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;699
10;qua;2;460;143;4;1;3;0;0;611;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;611
10;qui;3;427;143;5;2;4;0;0;581;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;581
10;sex;4;197;81;6;1;4;0;0;289;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;289
10;sáb;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
10;dom;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
10;seg;7;369;143;6;2;4;0;0;524;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;524
10;ter;8;506;172;6;2;3;0;0;689;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;689
10;qua;9;465;131;3;2;6;0;0;607;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;607
10;qui;10;427;155;6;43;3;5;0;639;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;639
10;sex;11;146;82;5;1;3;0;0;237;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;237
10;sáb;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
10;dom;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
10;seg;14;311;127;3;2;3;0;0;446;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;446
10;ter;15;498;134;5;3;2;0;0;642;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;642
10;qua;16;419;144;6;43;1;0;0;613;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;613
10;qui;17;417;133;6;3;2;0;0;561;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;561
10;sex;18;140;67;4;1;4;0;0;216;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;216
10;sáb;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
10;dom;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
10;seg;21;321;130;3;1;2;0;0;457;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;457
10;ter;22;492;161;7;45;3;0;0;708;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;708
10;qua;23;359;120;9;1;2;0;0;491;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;491
10;qui;24;334;107;9;1;5;0;0;456;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;456
10;sex;25;155;68;8;0;5;0;0;236;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;236
10;sáb;26;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
10;dom;27;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
10;seg;28;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
10;ter;29;527;163;11;1;4;0;0;706;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;706
10;qua;30;414;131;8;1;4;0;0;558;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;558
10;qui;31;399;146;13;0;2;0;0;560;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;560
11;SEX;1;191;64;9;1;3;0;0;268;0;0;0;0;0;0;0;0;268
11;SÁB;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;DOM;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;SEG;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;TER;5;427;144;8;27;4;0;0;610;0;0;0;0;0;0;0;0;610
11;QUA;6;397;128;7;0;4;0;0;536;0;0;0;0;0;0;0;0;536
11;QUI;7;343;122;6;0;1;0;0;472;0;0;0;0;0;0;0;0;472
11;SEX;8;111;61;5;0;3;0;0;180;0;0;0;0;0;0;0;0;180
11;SÁB;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;DOM;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;SEG;11;359;149;4;2;3;0;0;517;0;0;0;0;0;0;0;0;517
11;TER;12;457;144;9;3;2;0;0;615;0;0;0;0;0;0;0;0;615
11;QUA;13;368;127;5;46;5;0;0;551;0;0;0;0;0;0;0;0;551
11;QUI;14;299;101;6;0;1;0;0;407;0;0;0;0;0;0;0;0;407
11;SEX;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;SÁB;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;DOM;17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;SEG;18;294;99;11;2;5;0;0;411;0;0;0;0;0;0;0;0;411
11;TER;19;413;123;8;2;2;0;0;548;0;0;0;0;0;0;0;0;548
11;QUA;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;QUI;21;321;134;6;3;4;0;0;468;0;0;0;0;0;0;0;0;468
11;SEX;22;264;62;4;1;5;0;0;336;0;0;0;0;0;0;0;0;336
11;SÁB;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;DOM;24;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
11;SEG;25;277;125;6;1;3;0;0;412;97;41;0;0;0;0;0;138;550
11;TER;26;366;120;6;3;2;0;0;497;86;35;1;0;0;0;0;122;619
11;QUA;27;397;137;4;4;3;0;0;545;131;57;1;1;0;0;0;190;735
11;QUI;28;289;121;4;2;2;0;0;418;43;31;0;0;0;0;0;74;492
11;SEX;29;94;41;3;2;4;0;0;144;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;144
11;SÁB;30;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
12;DOM;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
12;SEG;2;269;88;5;2;2;0;0;366;41;24;0;0;0;0;0;65;431
12;TER;3;257;95;7;3;2;0;0;364;23;12;1;0;0;0;0;36;400
12;QUA;4;305;115;9;49;3;0;0;481;35;6;0;0;0;0;0;41;522
12;QUI;5;315;106;4;51;2;0;0;478;26;11;0;0;0;0;0;37;515
12;SEX;6;174;50;5;2;4;0;0;235;17;10;0;0;0;0;0;27;262
12;SÁB;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
12;DOM;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
12;SEG;9;176;65;7;1;1;0;0;250;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;250
12;TER;10;173;70;4;3;0;0;0;250;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;250
12;QUA;11;195;53;4;3;0;0;0;255;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;255
12;QUI;12;109;55;3;4;2;0;0;173;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;173
12;SEX;13;88;30;6;2;2;0;0;128;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;128
12;SÁB;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
12;DOM;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
12;SEG;16;53;20;5;4;1;0;0;83;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;83
12;TER;17;67;22;2;2;2;0;0;95;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;95
12;QUA;18;57;18;4;4;4;0;0;87;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;87
12;QUI;19;42;10;3;5;3;0;0;63;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;63
12;SEX;20;26;11;2;2;1;0;0;42;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;42
