Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço
6;sáb;24;NaN;NaN;NaN;NaN;NaN;0;0;0
6;dom;25;NaN;NaN;NaN;NaN;NaN;0;0;0
6;seg;26;360;107;3;0;2;0;0;472
6;ter;27;445;109;4;3;2;0;0;563
6;qua;28;442;121;3;1;2;0;0;569
6;qui;29;358;85;4;8;4;0;0;459
6;sex;30;275;85;3;9;0;0;0;372
7;sáb;1;NaN;NaN;NaN;NaN;NaN;0;0;0
7;dom;2;NaN;NaN;NaN;NaN;NaN;0;0;0
7;seg;3;339;109;5;3;5;0;0;461
7;ter;4;267;92;6;2;2;0;0;369
7;qua;5;341;104;5;1;2;0;0;453
7;qui;6;321;99;5;1;1;0;0;427
7;sex;7;196;65;5;1;1;0;0;268
7;sáb;8;NaN;NaN;NaN;NaN;NaN;0;0;0
7;dom;9;NaN;NaN;NaN;NaN;NaN;0;0;0
7;seg;10;205;70;6;2;0;0;0;283
7;ter;11;232;60;2;1;1;0;0;296
7;qua;12;275;87;4;3;3;0;0;372
7;qui;13;183;68;5;3;2;0;0;261
7;sex;14;132;38;4;0;2;0;0;176
7;sáb;15;NaN;NaN;NaN;NaN;NaN;0;0;0
7;dom;16;NaN;NaN;NaN;NaN;NaN;0;0;0
7;seg;17;70;20;3;7;2;0;0;102
7;ter;18;66;18;5;3;1;0;0;93
7;qua;19;0;0;0;0;0;0;0;0
7;qui;20;0;0;0;0;0;0;0;0
7;sex;21;0;0;0;0;0;0;0;0
7;sáb;22;NaN;NaN;NaN;NaN;NaN;0;0;0
7;dom;23;NaN;NaN;NaN;NaN;NaN;0;0;0
7;seg;24;0;0;0;0;0;0;0;0
7;ter;25;0;0;0;0;0;0;0;0
7;qua;26;0;0;0;0;0;0;0;0
7;qui;27;0;0;0;0;0;0;0;0
7;sex;28;0;0;0;0;0;0;0;0
7;sáb;29;NaN;NaN;NaN;NaN;NaN;0;0;0
7;dom;30;NaN;NaN;NaN;NaN;NaN;0;0;0
7;seg;31;0;0;0;0;0;0;0;0
8;ter;1;NaN;NaN;NaN;NaN;NaN;0;0;0
8;qua;2;NaN;NaN;NaN;NaN;NaN;0;0;0
8;qui;3;NaN;NaN;NaN;NaN;NaN;0;0;0
8;sex;4;NaN;NaN;NaN;NaN;NaN;0;0;0
8;sáb;5;NaN;NaN;NaN;NaN;NaN;0;0;0
8;dom;6;NaN;NaN;NaN;NaN;NaN;0;0;0
8;seg;7;399;124;3;5;2;0;0;533
8;ter;8;474;145;5;4;4;0;0;632
8;qua;9;468;156;3;3;1;0;0;631
8;qui;10;419;127;3;5;5;0;0;559
8;sex;11;170;52;2;3;0;0;0;227
8;sáb;12;NaN;NaN;NaN;NaN;NaN;0;0;0
8;dom;13;NaN;NaN;NaN;NaN;NaN;0;0;0
8;seg;14;NaN;NaN;NaN;NaN;NaN;0;0;0
8;ter;15;NaN;NaN;NaN;NaN;NaN;0;0;0
8;qua;16;543;166;5;3;1;0;0;718
8;qui;17;516;135;4;4;1;0;0;660
8;sex;18;337;81;5;3;2;0;0;428
8;sáb;19;NaN;NaN;NaN;NaN;NaN;0;0;0
8;dom;20;NaN;NaN;NaN;NaN;NaN;0;0;0
8;seg;21;419;130;3;4;2;0;0;558
8;ter;22;553;179;4;5;4;0;0;745
8;qua;23;544;159;5;3;3;0;0;714
8;qui;24;485;132;6;4;4;0;0;631
8;sex;25;271;78;4;1;2;0;0;356
8;sáb;26;NaN;NaN;NaN;NaN;NaN;0;0;0
8;dom;27;NaN;NaN;NaN;NaN;NaN;0;0;0
8;seg;28;403;142;2;3;1;0;0;551
8;ter;29;555;174;5;16;2;0;0;752
8;qua;30;411;116;4;4;2;0;0;537
8;qui;31;414;105;6;13;3;0;0;541
9;sex;1;240;59;4;3;1;0;0;307
9;sáb;2;NaN;NaN;NaN;NaN;NaN;0;0;0
9;dom;3;NaN;NaN;NaN;NaN;NaN;0;0;0
9;seg;4;88;23;2;4;1;0;0;118
9;ter;5;88;25;5;3;1;0;0;122
9;qua;6;71;19;2;3;1;0;0;96
9;qui;7;NaN;NaN;NaN;NaN;NaN;0;0;0
9;sex;8;NaN;NaN;NaN;NaN;NaN;0;0;0
9;sáb;9;NaN;NaN;NaN;NaN;NaN;0;0;0
9;dom;10;NaN;NaN;NaN;NaN;NaN;0;0;0
9;seg;11;415;121;3;4;2;0;0;545
9;ter;12;485;162;4;4;4;0;0;659
9;qua;13;496;129;6;6;2;0;0;639
9;qui;14;483;131;4;3;3;0;0;624
9;sex;15;184;67;0;2;1;0;0;254
9;sáb;16;NaN;NaN;NaN;NaN;NaN;0;0;0
9;dom;17;NaN;NaN;NaN;NaN;NaN;0;0;0
9;seg;18;398;113;4;2;3;0;0;520
9;ter;19;586;180;4;3;3;0;0;776
9;qua;20;493;146;4;4;1;0;0;648
9;qui;21;472;135;2;4;5;0;0;618
9;sex;22;197;53;5;4;2;0;0;261
9;sáb;23;NaN;NaN;NaN;NaN;NaN;0;0;0
9;dom;24;NaN;NaN;NaN;NaN;NaN;0;0;0
9;seg;25;314;105;4;4;3;0;0;430
9;ter;26;477;134;3;2;5;0;0;621
9;qua;27;464;130;3;3;1;0;0;601
9;qui;28;419;103;4;3;3;0;0;532
9;sex;29;227;59;3;4;1;0;0;294
9;sáb;30;NaN;NaN;NaN;NaN;NaN;0;0;0
10;dom;1;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;seg;2;358;111;3;4;3;0;0;479
10;ter;3;424;153;4;4;4;0;13;602
10;qua;4;491;142;4;4;1;0;0;642
10;qui;5;391;98;3;2;2;0;0;496
10;sex;6;166;47;4;0;1;0;0;218
10;sáb;7;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;dom;8;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;seg;9;319;88;2;5;2;0;0;416
10;ter;10;440;116;4;6;2;0;13;581
10;qua;11;87;14;4;3;1;0;0;109
10;qui;12;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;sex;13;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;sáb;14;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;dom;15;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;seg;16;335;95;4;3;2;0;0;439
10;ter;17;486;152;4;6;4;0;13;665
10;qua;18;413;130;2;6;1;0;0;552
10;qui;19;452;114;3;4;3;0;0;576
10;sex;20;183;63;5;3;3;0;0;257
10;sáb;21;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;dom;22;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;seg;23;357;118;3;4;1;0;0;483
10;ter;24;478;157;5;6;3;0;13;662
10;qua;25;389;113;6;3;1;0;0;512
10;qui;26;473;127;5;2;3;0;0;610
10;sex;27;298;57;8;3;2;0;0;368
10;sáb;28;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;dom;29;NaN;NaN;NaN;NaN;NaN;0;NaN;0
10;seg;30;314;96;2;3;1;0;0;416
10;ter;31;346;114;3;5;3;0;13;484
11;qua;1;326;96;6;4;2;0;0;434
11;qui;2;NaN;NaN;NaN;NaN;NaN;0;0;0
11;sex;3;NaN;NaN;NaN;NaN;NaN;0;0;0
11;sáb;4;NaN;NaN;NaN;NaN;NaN;0;0;0
11;dom;5;NaN;NaN;NaN;NaN;NaN;0;0;0
11;seg;6;221;71;1;4;2;0;0;299
11;ter;7;399;124;2;4;4;0;0;533
11;qua;8;355;104;2;4;1;0;0;466
11;qui;9;386;109;4;1;2;0;0;502
11;sex;10;183;46;3;30;1;0;0;263
11;sáb;11;NaN;NaN;NaN;NaN;NaN;0;0;0
11;dom;12;NaN;NaN;NaN;NaN;NaN;0;0;0
11;seg;13;253;79;2;4;2;0;0;340
11;ter;14;357;119;4;7;3;0;0;490
11;qua;15;NaN;NaN;NaN;NaN;NaN;0;0;0
11;qui;16;235;89;6;3;3;0;0;336
11;sex;17;106;29;5;1;2;0;0;143
11;sáb;18;NaN;NaN;NaN;NaN;NaN;0;0;0
11;dom;19;NaN;NaN;NaN;NaN;NaN;0;0;0
11;seg;20;NaN;NaN;NaN;NaN;NaN;0;0;0
11;ter;21;358;114;4;5;3;0;0;484
11;qua;22;445;117;4;4;2;0;0;572
11;qui;23;440;112;6;2;3;0;0;563
11;sex;24;137;43;4;2;1;0;0;187
11;sáb;25;NaN;NaN;NaN;NaN;NaN;0;0;0
11;dom;26;NaN;NaN;NaN;NaN;NaN;0;0;0
11;seg;27;333;110;3;1;2;0;0;449
11;ter;28;338;119;2;3;2;0;0;464
11;qua;29;333;111;6;1;1;0;0;452
11;qui;30;316;86;4;3;2;0;0;411
12;sex;1;152;39;2;2;1;0;0;196
12;sáb;2;NaN;NaN;NaN;NaN;NaN;0;0;0
12;dom;3;NaN;NaN;NaN;NaN;NaN;0;0;0
12;seg;4;270;77;4;0;0;0;0;351
12;ter;5;310;83;5;1;1;0;0;400
