Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Comunidade_almoço;Func_almoço;Visitante_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Comunidade_jantar;Func_jantar;Visitante;Total_jantar;Total_dia;Café;Café_Bolsista;Total_dia_com_café
10;sáb;4;712;376;8;18;0;1;0;1115;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1115;88;102;1305
10;dom;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
10;seg;6;1951;749;13;13;70;4;0;2800;1495;673;3;8;57;1;0;2237;5037;295;239;5571
10;ter;7;1880;731;12;13;77;7;1;2721;1543;668;3;5;69;2;0;2290;5011;326;265;5602
10;qua;8;1818;682;13;13;81;6;0;2613;1593;689;5;9;67;3;0;2366;4979;308;214;5501
10;qui;9;1732;661;14;16;79;8;0;2510;1334;616;3;6;71;4;0;2034;4544;294;250;5088
10;sex;10;1782;750;12;16;68;6;0;2634;741;437;4;6;60;0;0;1248;3882;219;195;4296
10;sáb;11;898;439;5;4;0;1;0;1347;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1347;110;120;1577
10;dom;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
10;seg;13;1851;697;12;11;66;5;0;2642;1507;648;4;4;2;1;0;2166;4808;283;238;5329
10;ter;14;2064;820;16;15;0;4;1;2920;1574;682;5;2;0;1;0;2264;5184;274;242;5700
10;qua;15;1858;736;14;15;0;8;0;2631;1486;657;2;5;0;2;0;2152;4783;269;245;5297
10;qui;16;1861;761;13;42;74;7;0;2758;1531;737;5;7;68;1;0;2349;5107;263;221;5591
10;sex;17;1631;710;15;23;77;5;1;2462;838;441;4;7;66;2;0;1358;3820;221;204;4245
10;sáb;18;671;384;4;3;0;0;0;1062;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1062;82;95;1239
10;dom;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
10;seg;20;1683;663;12;14;56;10;1;2439;1624;727;4;3;67;2;0;2427;4866;230;207;5303
10;ter;21;1782;732;16;20;59;10;0;2619;1479;652;4;6;68;3;0;2212;4831;254;211;5296
10;qua;22;1659;643;10;17;72;5;0;2406;1519;703;4;7;71;3;0;2307;4713;234;240;5187
10;qui;23;1557;597;10;14;69;9;0;2256;1595;700;7;7;69;2;0;2380;4636;259;211;5106
10;sex;24;1532;645;11;24;79;3;0;2294;812;451;5;6;67;1;0;1342;3636;205;192;4033
10;sáb;25;597;328;1;4;0;3;0;933;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;933;93;105;1131
10;dom;26;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
10;seg;27;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;0
