Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Comunidade_almoço;Func_almoço;Visitante_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Comunidade_jantar;Func_jantar;Visitante;Total_jantar;Total_dia;Café;Total_dia_com_café
7;qua;19;597;309;4;5;0;0;0;915;416;246;0;1;0;1;0;664;1579;54;1633
7;qui;20;563;277;3;9;0;0;0;852;338;209;0;4;0;0;0;551;1403;47;1450
7;sex;21;478;244;1;6;0;1;0;730;325;209;1;3;0;0;0;538;1268;41;1309
7;sáb;22;281;144;1;2;0;0;0;428;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;428;NaN;428
7;dom;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
7;seg;24;544;241;4;19;0;1;0;809;411;222;0;2;0;0;0;635;1444;40;1484
7;ter;25;555;261;4;23;0;1;0;844;421;215;0;2;0;0;0;638;1482;40;1522
7;qua;26;527;241;3;17;0;0;0;788;399;209;0;2;0;0;0;610;1398;43;1441
7;qui;27;543;238;4;22;0;0;0;807;394;207;1;0;0;0;0;602;1409;37;1446
7;sex;28;481;207;1;11;0;3;0;703;356;186;1;1;0;1;0;545;1248;35;1283
7;sáb;29;256;113;1;2;0;0;0;372;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;372;NaN;372
7;dom;30;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
7;seg;31;558;240;3;19;0;1;0;821;462;229;1;1;0;0;0;693;1514;33;1547
8;ter;1;651;273;4;15;0;0;0;943;468;245;0;3;0;0;0;716;1659;44;1703
8;qua;2;681;280;4;18;0;0;0;983;515;273;0;2;0;0;0;790;1773;41;1814
8;qui;3;648;294;4;80;0;2;0;1028;425;264;1;4;0;0;0;694;1722;48;1770
8;sex;4;597;308;3;82;0;1;0;991;369;226;1;1;0;0;0;597;1588;55;1643
8;sáb;5;372;228;0;1;0;0;0;601;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;601;NaN;601
8;dom;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
8;seg;7;1655;693;0;13;58;2;0;2421;1156;587;0;2;64;0;0;1809;4230;165;4395
8;ter;8;1819;759;1;11;69;1;0;2660;1392;646;0;1;63;0;0;2102;4762;168;4930
8;qua;9;1651;706;2;4;57;3;0;2423;1491;741;0;1;72;0;0;2305;4728;189;4917
8;qui;10;1667;721;2;9;73;2;0;2474;1182;588;2;0;61;0;0;1833;4307;160;4467
8;sex;11;1241;585;2;1;63;1;0;1893;843;446;2;1;69;1;0;1362;3255;142;3397
8;sáb;12;756;408;0;2;0;0;0;1166;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1166;NaN;1166
8;dom;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
8;seg;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
8;ter;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
8;qua;16;1850;741;3;4;67;2;0;2667;1497;690;1;2;64;1;0;2255;4922;191;5113
8;qui;17;1671;712;3;6;61;3;0;2456;1382;630;2;3;65;0;0;2082;4538;193;4731
8;sex;18;1763;749;5;9;64;1;0;2591;1168;600;1;4;61;1;0;1835;4426;163;4589
8;sáb;19;969;494;2;4;0;1;0;1470;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1470;NaN;1470
8;dom;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
8;seg;21;1958;796;6;8;62;1;0;2831;1685;763;3;3;63;0;0;2517;5348;183;5531
8;ter;22;1890;745;4;11;66;2;0;2718;1631;721;4;3;59;0;0;2418;5136;183;5319
8;qua;23;1946;762;4;7;64;2;0;2785;1344;634;3;5;66;0;0;2052;4837;173;5010
8;qui;24;1804;745;4;9;44;2;0;2608;1646;742;2;5;60;0;0;2455;5063;170;5233
8;sex;25;1828;759;6;7;64;1;0;2665;1104;582;1;2;55;0;0;1744;4409;149;4558
8;sáb;26;924;476;1;5;0;0;0;1406;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;1406;NaN;1406
8;dom;27;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;0
8;seg;28;1788;712;3;45;38;2;0;2588;1609;709;4;28;56;0;0;2406;4994;167;5161
8;ter;29;1963;753;6;48;37;3;0;2810;1552;693;3;34;58;0;0;2340;5150;167;5317
8;qua;30;1858;746;5;49;67;1;0;2726;1490;687;2;35;76;1;0;2291;5017;162;5179
