Ano,Mês,Dia_semana,Dia_mês,Aluno,Bolsista,Pos_Doc,Aluno_Externo,Funcionario,Visitante,Comunidade,Total,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,sobremesa_2,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_horaria (m/s),Vento_rajada_maxima (m/s),dia letivo
2023,3,qui,30,588.0,140.0,3.0,0.0,2.0,0.0,0.0,733.0,almoco,carne moída com azeitonas,pvt alemão,nhoque ao sugo,chocolate ao leite,abacaxi,0.0,27.099999999999998,25.5,64.0,2.6,6.566666666666666,1
2023,3,sex,31,414.0,99.0,5.0,0.0,1.0,0.0,0.0,519.0,almoco,bife ao molho de cogumelos,lasanha de queijo,couve flor ao vinagrete,gelatina de morango,melancia,0.0,29.166666666666668,27.433333333333334,57.0,1.9333333333333333,5.7,1
2023,4,seg,3,85.0,11.0,5.0,0.0,1.0,0.0,0.0,102.0,almoco,linguiça acebolada,ovo frito,farofa,torrone,maçã,0.0,26.433333333333334,24.599999999999998,61.0,2.1666666666666665,6.666666666666667,0
2023,4,ter,4,124.0,13.0,5.0,1.0,2.0,0.0,0.0,145.0,almoco,estrogonofe de frango,estrogonofe de pvt,batata palha,sagu,mamão,0.0,26.733333333333334,24.96666666666667,59.666666666666664,0.9666666666666667,3.9333333333333336,0
2023,4,qua,5,114.0,13.0,3.0,1.0,1.0,0.0,0.0,132.0,almoco,bife ao molho de azeitonas,hamburguer de lentilha ao molho de azeitonas,mandioca ao tomatelli,ovo de páscoa,tangerina,0.0,27.733333333333334,25.566666666666666,54.0,1.9000000000000001,5.633333333333333,0
2023,4,qua,5,114.0,13.0,3.0,1.0,1.0,0.0,0.0,132.0,almoco,bife ao molho de azeitonas,hamburguer de lentilha ao molho de azeitonas,mandioca ao tomatelli,ovo de páscoa,tangerina,0.0,27.733333333333334,25.566666666666666,54.0,1.9000000000000001,5.633333333333333,0
2023,4,qui,6,119.0,5.0,3.0,3.0,1.0,0.0,0.0,131.0,almoco,peixe frito,grãos com queijo,legumes refogado,chocolate ao leite,melancia,0.0,26.633333333333336,25.2,60.333333333333336,2.4,7.333333333333333,0
2023,4,seg,10,559.0,152.0,4.0,3.0,2.0,0.0,0.0,720.0,almoco,fricassê de frango,estrogonofe de legumes,batata palha,mini bolo de brigadeiro,melancia,0.0,25.433333333333334,24.0,59.0,2.4,6.733333333333334,1
2023,4,ter,11,579.0,140.0,3.0,28.0,1.0,0.0,0.0,751.0,almoco,lombo ao molho barbecue,ovo cozido,couve refogada,pudim de pão com calda,mamão,0.0,25.53333333333333,23.866666666666664,61.0,2.566666666666667,6.7,1
2023,4,qua,12,617.0,145.0,2.0,2.0,1.0,0.0,0.0,767.0,almoco,bife ao molho de cogumelo,moussaka vegetariana,macarrão ao sugo,maxi goiabinha,maçã,0.0,24.733333333333334,22.8,66.66666666666667,2.2333333333333334,6.066666666666666,1
