Ano,Mês,Dia_semana,Dia_mês,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,sobremesa_2,Aluno,Bolsista,Pos_Doc,Aluno_Externo,Comunidade,Visitantes,Funcionario,Total,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_horaria (m/s),Vento_rajada_maxima (m/s),dia letivo
2023,1,sáb,14,almoco,cubos de pernil ao molho ferrugem,hamburguer de lentilha,abobrinha à italiana,cocada,melancia,189.0,101.0,0.0,10.0,0.0,0.0,1.0,301.0,0.0,25.433333333333334,23.3,73.33333333333333,2.1666666666666665,6.466666666666666,0
2023,1,seg,16,cafe da manha,,,,,,,,,,,,,31.0,0.0,23.4,21.4,81.5,0.0,0.0,0
2023,1,seg,16,almoco,filé de frango empanado,suflê de legumes,creme de milho,mini bolo de chocolate,melancia,438.0,183.0,2.0,22.0,0.0,0.0,1.0,646.0,0.0,29.2,27.233333333333334,56.333333333333336,0.9666666666666667,4.366666666666666,0
2023,1,seg,16,jantar,iscas ao molho madeira,tomate recheado,batata doce com ervas,maxi goiabinha,melão,310.0,147.0,0.0,8.0,0.0,0.0,0.0,465.0,5.2,21.733333333333334,19.900000000000002,91.33333333333333,1.5999999999999999,7.433333333333333,0
2023,1,ter,17,cafe da manha,,,,,,,,,,,,,38.0,1.2,22.4,20.700000000000003,89.0,0.65,3.85,0
2023,1,ter,17,almoco,linguiça acebolada,grãos com queijo branco ,legumes ao forno,sorvete de creme,tangerina,463.0,180.0,3.0,19.0,0.0,0.0,1.0,666.0,0.0,27.066666666666666,24.900000000000002,67.66666666666667,0.9,4.6,0
2023,1,ter,17,jantar,bife ao molho pomodoro,pvt com shimeji e cogumelo,acelga à chinesa,gelatina de cereja,maçã,322.0,153.0,0.0,10.0,0.0,0.0,0.0,485.0,0.0,26.133333333333336,25.133333333333336,71.0,0.8666666666666667,3.733333333333334,0
2023,1,qua,18,cafe da manha,,,,,,,,,,,,,40.0,0.0,23.35,20.95,72.0,2.15,5.65,0
2023,1,qua,18,almoco,bife ao molho ferrugem,ovo frito,farofa,flan de baunilha,banana,477.0,175.0,2.0,28.0,0.0,0.0,1.0,683.0,0.0,28.5,26.766666666666666,59.666666666666664,1.8,6.933333333333334,0
2023,1,qua,18,jantar,peixe ao molho de queijos,almôndega de grão de bico,brócolis refogado ,iogurte,mamão,299.0,153.0,0.0,9.0,0.0,0.0,0.0,461.0,0.0,24.46666666666667,23.0,72.66666666666667,0.39999999999999997,6.233333333333333,0
