Ano,Mês,Dia_semana,Dia_mês,refeicao,total,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_ms,Vento_rajada_maxima_ms,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,1,qui,19,jantar,487.0,Isca de frango,Ovo cozido,Macarrão,Manjar,1.0666666666666667,20.366666666666664,19.733333333333334,89.66666666666667,0.0,4.133333333333333,0,0,1,1,1,0,0,18,0,0,74
2023,1,sex,20,almoco,619.0,Frango assado,Cassoulet,Polenta,Mosaico,0.0,24.666666666666668,22.866666666666664,74.66666666666667,2.3333333333333335,6.6000000000000005,0,0,1,1,1,0,0,19,0,0,73
2023,1,sex,20,jantar,432.0,Hamburguer,Hamburguer de lentilha,Batata,Goiabada,0.06666666666666667,22.3,20.666666666666668,89.0,1.3333333333333333,4.666666666666667,0,0,1,1,1,0,0,19,0,0,73
2023,1,sáb,21,almoco,328.0,Bife,PVT,Couve-flor,Mousse de maracujá,0.3333333333333333,22.766666666666666,20.766666666666666,86.66666666666667,1.3333333333333333,4.266666666666667,0,0,1,1,1,0,0,20,0,0,72
2023,1,seg,23,almoco,721.0,Carne moída,PVT,Cenoura,Torrone,0.0,26.166666666666668,24.099999999999998,69.0,1.9000000000000001,5.633333333333333,0,0,1,1,1,0,0,22,0,0,70
2023,1,seg,23,jantar,567.0,Bisteca,Grão de bico,Couve,Chocolate,0.19999999999999998,24.633333333333336,22.566666666666666,82.0,1.0333333333333334,5.933333333333333,0,0,1,1,1,0,0,22,0,0,70
2023,1,ter,24,almoco,831.0,Hamburguer,Hamburguer de lentilha,Macarrão,Manjar,0.0,25.53333333333333,23.53333333333333,72.66666666666667,1.3999999999999997,4.966666666666666,0,0,1,1,1,0,0,23,0,0,69
2023,1,ter,24,jantar,643.0,Frango assado,Caneloni de ricota,Quiabo,Bolinho,0.0,28.099999999999998,26.599999999999998,62.666666666666664,0.5,5.166666666666667,0,0,1,1,1,0,0,23,0,0,69
2023,1,qua,25,almoco,789.0,Lombo,Curry de legumes,Farofa,Chocolate,0.0,28.53333333333333,26.366666666666664,50.0,0.5,3.3666666666666667,0,0,1,1,1,0,0,24,0,0,68
2023,1,qua,25,jantar,697.0,Estrogonofe de carne,Estrogonofe de PVT,Batata palha,Sorvete,0.0,28.766666666666666,27.599999999999998,45.666666666666664,2.1999999999999997,6.2,0,0,1,1,1,0,0,24,0,0,68
