Ano,Mês,Dia_mês,Dia_semana,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,4,6,qui,0,1,0,1,1,1,1,0,24,100,0
2023,4,7,sex,0,1,0,1,1,1,1,0,25,99,0
2023,4,8,sáb,0,1,0,1,1,0,1,0,26,98,0
2023,4,9,dom,0,0,0,0,1,0,1,0,27,97,12
2023,4,10,seg,1,0,0,0,1,0,0,0,28,96,11
2023,4,11,ter,1,0,0,0,0,0,0,0,29,95,10
2023,4,12,qua,1,0,0,0,0,0,0,0,30,94,9
2023,4,13,qui,1,0,0,0,0,0,0,0,31,93,8
2023,4,14,sex,1,0,0,0,0,0,0,0,32,92,7
2023,4,15,sáb,1,0,0,1,0,0,0,0,33,91,6
2023,4,16,dom,0,0,0,0,0,0,0,0,34,90,5
2023,4,17,seg,1,0,0,0,1,0,0,0,35,89,4
2023,4,18,ter,1,0,0,0,0,0,0,0,36,88,3
2023,4,19,qua,1,0,0,0,0,0,0,0,37,87,2
2023,4,20,qui,1,0,0,1,0,1,0,0,38,86,1
2023,4,21,sex,0,1,0,1,0,1,0,0,39,85,0
2023,4,22,sáb,0,1,0,1,1,0,1,0,40,84,0
2023,4,23,dom,0,0,0,0,1,0,1,0,41,83,8
2023,4,24,seg,1,0,0,0,1,0,0,0,42,82,7
2023,4,25,ter,1,0,0,0,0,0,0,0,43,81,6
2023,4,26,qua,1,0,0,0,0,0,0,0,44,80,5
2023,4,27,qui,1,0,0,0,0,0,0,0,45,79,4
2023,4,28,sex,1,0,0,0,0,0,0,0,46,78,3
2023,4,29,sáb,1,0,0,1,0,0,0,0,47,77,2
2023,4,30,dom,0,0,0,1,0,1,0,0,48,76,1
2023,5,1,seg,0,1,0,0,1,0,0,0,49,75,0
2023,5,2,ter,1,0,0,0,1,0,1,0,50,74,37
2023,5,3,qua,1,0,0,0,0,0,0,0,51,73,36
2023,5,4,qui,1,0,0,0,0,0,0,0,52,72,35
2023,5,5,sex,1,0,0,0,0,0,0,0,53,71,34
2023,5,6,sáb,1,0,0,1,0,0,0,0,54,70,33
2023,5,7,dom,0,0,0,0,0,0,0,0,55,69,32
2023,5,8,seg,1,0,0,0,1,0,0,0,56,68,31
2023,5,9,ter,1,0,0,0,0,0,0,0,57,67,30
2023,5,10,qua,1,0,0,0,0,0,0,0,58,66,29
2023,5,11,qui,1,0,0,0,0,0,0,0,59,65,28
2023,5,12,sex,1,0,0,0,0,0,0,0,60,64,27
2023,5,13,sáb,1,0,0,1,0,0,0,0,61,63,26
2023,5,14,dom,0,0,0,0,0,0,0,0,62,62,25
2023,5,15,seg,1,0,0,0,1,0,0,0,63,61,24
2023,5,16,ter,1,0,0,0,0,0,0,0,64,60,23
2023,5,17,qua,1,0,0,0,0,0,0,0,65,59,22
2023,5,18,qui,1,0,0,0,0,0,0,0,66,58,21
2023,5,19,sex,1,0,0,0,0,0,0,0,67,57,20
2023,5,20,sáb,1,0,0,1,0,0,0,0,68,56,19
2023,5,21,dom,0,0,0,0,0,0,0,0,69,55,18
2023,5,22,seg,1,0,0,0,1,0,0,0,70,54,17
2023,5,23,ter,1,0,0,0,0,0,0,0,71,53,16
2023,5,24,qua,1,0,0,0,0,0,0,0,72,52,15
2023,5,25,qui,1,0,0,0,0,0,0,0,73,51,14
2023,5,26,sex,1,0,0,0,0,0,0,0,74,50,13
2023,5,27,sáb,1,0,0,1,0,0,0,0,75,49,12
2023,5,28,dom,0,0,0,0,0,0,0,0,76,48,11
2023,5,29,seg,1,0,0,0,1,0,0,0,77,47,10
2023,5,30,ter,1,0,0,0,0,0,0,0,78,46,9
2023,5,31,qua,1,0,0,0,0,0,0,0,79,45,8
2023,6,1,qui,1,0,0,0,0,0,0,0,80,44,7
2023,6,2,sex,1,0,0,0,0,0,0,0,81,43,6
2023,6,3,sáb,1,0,0,1,0,0,0,0,82,42,5
2023,6,4,dom,0,0,0,0,0,0,0,0,83,41,4
